version,types,count
2019-04-01,deleted,12807
2019-04-01,newly_added,19580
2019-04-01,deleted_reused,11672
2019-04-01,merged_reused,1
2019-05-01,deleted,10502
2019-05-01,newly_added,2453
2019-05-01,deleted_reused,4103
2019-05-01,merged_reused,
2019-06-01,deleted,8008
2019-06-01,newly_added,1458
2019-06-01,deleted_reused,13797
2019-06-01,merged_reused,
2019-07-01,deleted,5050
2019-07-01,newly_added,2192
2019-07-01,deleted_reused,6695
2019-07-01,merged_reused,
2019-08-01,deleted,6041
2019-08-01,newly_added,1611
2019-08-01,deleted_reused,6501
2019-08-01,merged_reused,
2019-09-01,deleted,4975
2019-09-01,newly_added,2541
2019-09-01,deleted_reused,5328
2019-09-01,merged_reused,
2019-10-01,deleted,10854
2019-10-01,newly_added,32970
2019-10-01,deleted_reused,3497
2019-10-01,merged_reused,
2019-11-01,deleted,10648
2019-11-01,newly_added,2025
2019-11-01,deleted_reused,3530
2019-11-01,merged_reused,
2019-12-01,deleted,11905
2019-12-01,newly_added,5727
2019-12-01,deleted_reused,7961
2019-12-01,merged_reused,
2020-01-01,deleted,8928
2020-01-01,newly_added,4337
2020-01-01,deleted_reused,15423
2020-01-01,merged_reused,
2020-02-01,deleted,8566
2020-02-01,newly_added,2024
2020-02-01,deleted_reused,8309
2020-02-01,merged_reused,
